"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","OA.Webseite.der.Institution","OA.Beauftragte.r","OA.Policy","OA.Leitlinie","Berliner.Erklärung","OA2020","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType","item","name","coord","lat","lon"
"Q880568","Hessen","Senckenberg Gesellschaft für Naturforschung (SGN)","Frankfurt","Forschungsorganisation: Leibniz-Gemeinschaft","https://www.senckenberg.de/de/wissenschaft/forschungsinfrastruktur/bibliotheken/open-access/",NA,"ja",NA,"ja, als WGL","ja, als WGL",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,34.24,39.55,"ForschungsInstitution",NA,NA,NA,NA,NA
"Q15834499","Hessen","Max-Planck-Institut für empirische Ästhetik (MPIEA)","Frankfurt","Forschungsorganisation: Max-Planck-Gesellschaft","www.aesthetics.mpg.de/bibliothek/open-access.html",NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q15834499","Q15834499","Point(8.6729 50.12111)",50.12111,8.6729
"Q255876","Hessen","Max-Planck-Institut für Biophysik","Frankfurt","Forschungsorganisation: Max-Planck-Gesellschaft",NA,NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q255876","Q255876","Point(8.63027778 50.17361111)",50.17361111,8.63027778
"Q832398","Hessen","Max-Planck-Institut für Hirnforschung","Frankfurt","Forschungsorganisation: Max-Planck-Gesellschaft",NA,NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q832398","Institut Max Planck per a la recerca cerebral","Point(8.65205 50.0935)",50.0935,8.65205
"Q30265290","Hessen","Max-Planck-Forschungsstelle für Neurogenetik","Frankfurt","Forschungsorganisation: Max-Planck-Gesellschaft",NA,NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q30265290","Q30265290","Point(8.632268 50.174843)",50.174843,8.632268
"Q1567092","Hessen","Max-Planck-Institut für Herz- und Lungenforschung","Bad Nauheim","Forschungsorganisation: Max-Planck-Gesellschaft",NA,NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1567092","Q1567092","Point(8.74121 50.36974)",50.36974,8.74121
"Q1170236","Hessen","Max-Planck-Institut für terrestrische Mikrobiologie (MPIterMic)","Marburg","Forschungsorganisation: Max-Planck-Gesellschaft",NA,NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1170236","Q1170236","Point(8.810833 50.806389)",50.806389,8.810833
"Q1912108","Hessen","Max-Planck-Institut für Rechtsgeschichte und Rechtstheorie","Frankfurt","Forschungsorganisation: Max-Planck-Gesellschaft","www.rg.mpg.de/open-access",NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1912108","Max-Planck-Institut für Europäische Rechtsgeschichte","Point(8.6204 50.1328)",50.1328,8.6204
"Q284992","Hessen","Hochschule Darmstadt","Darmstadt","Hochschule","bib.h-da.de/services/open-access/open-access-publizieren",NA,"ja",NA,"ja","nein",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,"50%",50,34.24,39.55,"Hochschule",NA,NA,NA,NA,NA
"Q453821","Hessen","Hochschule Fulda","Fulda","Hochschule","www.hs-fulda.de/hlb/informationen-fuer/forschende-und-lehrende/open-access-publizieren",NA,"nein","www.hs-fulda.de/hlb/service/weitere-serviceangebote/forschen-publizieren/open-access-publizieren/open-access-leitlinie-der-hochschule-fulda","ja","nein",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,34.24,39.55,"Hochschule","http://www.wikidata.org/entity/Q453821","Q453821","Point(9.6875 50.5647)",50.5647,9.6875
"Q870192","Hessen","Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz Gemeinschaft","Marburg","Forschungsorganisation: Leibniz-Gemeinschaft","https://www.herder-institut.de/open-access.html",NA,"ja",NA,"ja, als WGL","ja, als WGL",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,34.24,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q870192","Q870192","Point(8.760706 50.808855)",50.808855,8.760706
"Q1615884","Hessen","Hessische Hochschule für Finanzen und Rechtspflege","Rotenburg","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,34.24,39.55,"Hochschule","http://www.wikidata.org/entity/Q1615884","Q1615884","Point(9.73096 50.9914)",50.9914,9.73096
"Q338514","Hessen","accadis Hochschule Bad Homburg","Bad Homburg","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,34.24,39.55,"Hochschule","http://www.wikidata.org/entity/Q338514","Q338514","Point(8.6504 50.2127)",50.2127,8.6504
"Q636031","Hessen","Archivschule Marburg","Marburg","Hochschule",NA,NA,"nein",NA,"nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,34.24,39.55,"Hochschule","http://www.wikidata.org/entity/Q636031","Q636031","Point(8.763828 50.803588)",50.803588,8.763828
NA,"Hessen","CVJM-Hochschule Kassel","Kassel","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,34.24,39.55,"Hochschule",NA,NA,NA,NA,NA
"Q1622174","Hessen","Hochschule der Deutschen Gesetzlichen Unfallversicherung (HGU), University of Applied Sciences","Bad Hersfeld","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,34.24,39.55,"Hochschule",NA,NA,NA,NA,NA
"Q1153856","Hessen","DIPLOMA Hochschule","Bad Sooden-Allendorf","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,34.24,39.55,"Hochschule",NA,NA,NA,NA,NA
"Q1380207","Hessen","Evangelische Hochschule Darmstadt (EHD)","Darmstadt","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,34.24,39.55,"Hochschule","http://www.wikidata.org/entity/Q1380207","Q1380207","Point(8.62755 49.8742)",49.8742,8.62755
