"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","OA.Webseite.der.Institution","OA.Beauftragte.r","OA.Policy","OA.Leitlinie","Berliner.Erklärung","OA2020","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType"
"Q1391290","Bayern","Hochschule für den öffentlichen Dienst in Bayern","München","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1622239","Bayern","Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt","Würzburg","Hochschule","bibliothek.fhws.de/beratung/open-access/",NA,"nein",NA,"nein","nein","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",2,"33.33%",33.33,39.16,39.55,"Hochschule"
"Q1622121","Bayern","Hochschule für angewandte Wissenschaften Landshut","Landshut","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q21036325","Bayern","Hochschule der Bayerischen Wirtschaft (HDBW) gGmbH","München","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q569350","Bayern","Hochschule für Fernsehen und Film München","München","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1622241","Bayern","Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern","Bayreuth","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1622189","Bayern","Hochschule für Katholische Kirchenmusik und Musikpädagogik Regensburg","Regensburg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1622205","Bayern","Hochschule für Musik Nürnberg","Nürnberg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q260107","Bayern","Hochschule für Musik Würzburg","Würzburg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1622215","Bayern","Hochschule für Politik München (HfP)","München","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
